                  xa                  ya  
                 0.0           0.0559811
          0.00059837           0.0562478
           0.0017951           0.0567658
           0.0035902           0.0575074
           0.0059836           0.0584375
           0.0089755           0.0595189
           0.0125656           0.0607162
           0.0167542           0.0619982
           0.0215411           0.0633385
           0.0269264           0.0647162
             0.03291            0.066115
            0.039492           0.0675222
           0.0466724           0.0689286
           0.0544511           0.0703272
           0.0628282            0.071713
           0.0718037           0.0730825
           0.0813775           0.0744333
           0.0915497           0.0757639
           0.1023202           0.0770731
           0.1136891           0.0783606
           0.1256564            0.079626
           0.1382221           0.0808696
           0.1513861           0.0820914
           0.1651484           0.0832919
           0.1795092           0.0844715
           0.1944683           0.0856308
           0.2100257           0.0867702
           0.2261816           0.0878904
           0.2429357            0.088992
           0.2602883           0.0900754
           0.2782392           0.0911414
           0.2967885           0.0921904
           0.3159361            0.093223
           0.3356822           0.0942398
           0.3560265           0.0952412
           0.3769692           0.0962278
           0.3985104           0.0972001
           0.4206498           0.0981585
           0.4433877           0.0991035
           0.4667238           0.1000354
           0.4906584           0.1009548
           0.5151913           0.1018619
           0.5403226           0.1027573
           0.5660523           0.1036411
           0.5923803           0.1045139
           0.6193066           0.1053758
           0.6468314           0.1062273
           0.6749545           0.1070686
           0.7036759           0.1079001
           0.7329957           0.1087219
           0.7629139           0.1095344
           0.7934305           0.1103379
           0.8245454           0.1111325
           0.8562587           0.1119185
           0.8885704           0.1126962
           0.9214804           0.1134657
           0.9549888           0.1142273
           0.9890955           0.1149812
            1.023801           0.1157275
            1.059104           0.1164664
            1.095006           0.1171982
            1.131506            0.117923
            1.168605            0.118641
            1.206302           0.1193523
            1.244597            0.120057
            1.283491           0.1207554
            1.322983           0.1214476
            1.363073           0.1221337
            1.403762           0.1228138
            1.445049           0.1234881
            1.486934           0.1241567
            1.529418           0.1248198
              1.5725           0.1254773
            1.616181           0.1261296
             1.66046           0.1267766
            1.705337           0.1274184
            1.750813           0.1280553
            1.796887           0.1286872
            1.843559           0.1293143
             1.89083           0.1299366
            1.938699           0.1305543
            1.987167           0.1311674
            2.036232           0.1317761
            2.085896           0.1323804
            2.136159           0.1329803
             2.18702           0.1335761
            2.238479           0.1341676
            2.290537           0.1347551
            2.343193           0.1353386
            2.396447           0.1359182
              2.4503           0.1364938
            2.504751           0.1370657
            2.559801           0.1376338
            2.615449           0.1381983
            2.671695           0.1387591
            2.728539           0.1393164
            2.785982           0.1398701
            2.844024           0.1404204
            2.902663           0.1409674
            2.961901           0.1415109
              3.0157           0.1417822
