"CSV for general cost profile"
"Clock (seconds)"
Solids   ,Shells   ,Tshells  ,Beams    ,Time-Step,Contact  ,Rigid-Bdy,Others   ,Misc1    ,Misc2    ,Misc3    ,Misc4    
0.000000000E+00,0.912000000E+00,0.000000000E+00,0.000000000E+00,0.281000000E+00,0.160000003E-01,0.000000000E+00,0.000000000E+00,0.159999998E-01,0.000000000E+00,0.328000000E+00,0.000000000E+00
0.000000000E+00,0.108300000E+01,0.000000000E+00,0.000000000E+00,0.141000001E+00,0.160000003E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.328000000E+00,0.159999998E-01
0.000000000E+00,0.108200000E+01,0.000000000E+00,0.000000000E+00,0.142000000E+00,0.000000000E+00,0.000000000E+00,0.160000003E-01,0.000000000E+00,0.000000000E+00,0.328000000E+00,0.000000000E+00
0.000000000E+00,0.101900000E+01,0.000000000E+00,0.000000000E+00,0.205000001E+00,0.000000000E+00,0.000000000E+00,0.160000003E-01,0.000000000E+00,0.000000000E+00,0.328000000E+00,0.159999998E-01
0.000000000E+00,0.103700000E+01,0.000000000E+00,0.000000000E+00,0.187000001E+00,0.000000000E+00,0.000000000E+00,0.160000003E-01,0.000000000E+00,0.000000000E+00,0.328000000E+00,0.159999998E-01
0.000000000E+00,0.108200000E+01,0.000000000E+00,0.000000000E+00,0.158000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.328000000E+00,0.000000000E+00



"CSV for general cost profile"
"Clock and percentage(%)"
Solids   ,Shells   ,Tshells  ,Beams    ,Time-Step,Contact  ,Rigid-Bdy,Others   ,Misc1    ,Misc2    ,Misc3    ,Misc4    
0.000000000E+00,0.381398461E+01,0.000000000E+00,0.000000000E+00,0.117514219E+01,0.669120119E-01,0.000000000E+00,0.000000000E+00,0.669120100E-01,0.000000000E+00,0.137169622E+01,0.000000000E+00
0.000000000E+00,0.452910672E+01,0.000000000E+00,0.000000000E+00,0.589662098E+00,0.669120119E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.137169622E+01,0.669120100E-01
0.000000000E+00,0.452492472E+01,0.000000000E+00,0.000000000E+00,0.593844097E+00,0.000000000E+00,0.000000000E+00,0.669120119E-01,0.000000000E+00,0.000000000E+00,0.137169622E+01,0.000000000E+00
0.000000000E+00,0.426145868E+01,0.000000000E+00,0.000000000E+00,0.857310141E+00,0.000000000E+00,0.000000000E+00,0.669120119E-01,0.000000000E+00,0.000000000E+00,0.137169622E+01,0.669120100E-01
0.000000000E+00,0.433673469E+01,0.000000000E+00,0.000000000E+00,0.782034129E+00,0.000000000E+00,0.000000000E+00,0.669120119E-01,0.000000000E+00,0.000000000E+00,0.137169622E+01,0.669120100E-01
0.000000000E+00,0.452492472E+01,0.000000000E+00,0.000000000E+00,0.660756107E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.137169622E+01,0.000000000E+00
